produto,ano,fonte,unidade_padrao,preco_mediano,preco_medio,preco_min,preco_max,n_registros,ratio_max_min
aas,2019,estadual,unidade,0.41,0.37,0.04,0.88,31,24.5
aas,2019,federal,unidade,0.1,0.17,0.04,0.36,3,9.0
aas,2019,municipal,unidade,0.44,0.44,0.35,0.53,2,1.5
aas,2020,estadual,unidade,0.23,0.21,0.03,0.46,9,13.8
aas,2020,federal,unidade,0.15,0.15,0.09,0.21,2,2.3
aas,2020,municipal,unidade,0.03,0.11,0.02,0.39,6,20.3
aas,2021,estadual,unidade,0.47,0.57,0.25,1.02,12,4.0
aas,2021,municipal,unidade,0.03,0.14,0.03,0.61,8,18.3
aas,2022,estadual,unidade,0.44,0.36,0.05,0.52,8,9.8
aas,2022,federal,unidade,0.16,0.28,0.05,0.75,4,15.0
aas,2022,municipal,unidade,0.05,0.05,0.05,0.05,4,1.0
aas,2023,estadual,unidade,0.48,0.45,0.3,0.55,8,1.8
aas,2023,municipal,unidade,0.04,0.04,0.04,0.05,26,1.3
aas,2024,estadual,unidade,0.48,0.4,0.04,0.57,19,13.7
aas,2024,federal,unidade,0.2,0.2,0.05,0.34,2,6.8
aas,2024,municipal,unidade,0.04,0.04,0.03,0.04,27,1.2
aas,2025,estadual,unidade,0.03,0.28,0.03,0.79,3,26.3
aas,2025,municipal,unidade,0.03,0.09,0.02,0.78,33,32.5
aas,2026,municipal,unidade,0.02,0.04,0.02,0.18,11,7.2
abacaxi,2019,municipal,unidade,2.29,2.29,2.29,2.29,2,1.0
abacaxi,2020,municipal,unidade,6.39,6.08,4.12,7.42,4,1.8
abacaxi,2021,municipal,unidade,5.03,5.03,4.86,5.19,4,1.1
abacaxi,2022,municipal,unidade,5.72,5.28,2.25,7.99,28,3.6
abacaxi,2023,municipal,unidade,5.07,4.45,2.03,6.98,58,3.4
abacaxi,2024,federal,unidade,7.36,7.28,5.8,8.9,10,1.5
abacaxi,2024,municipal,unidade,5.66,5.52,2.0,8.49,75,4.2
abacaxi,2025,federal,unidade,6.46,7.26,5.5,12.0,8,2.2
abacaxi,2025,municipal,unidade,4.9,5.53,3.6,8.25,37,2.3
abacaxi,2026,municipal,unidade,5.24,5.52,3.94,7.04,10,1.8
abobora,2019,federal,kg,1.99,2.04,1.98,2.12,5,1.1
abobora,2019,municipal,kg,2.48,2.48,2.48,2.48,2,1.0
abobora,2020,municipal,kg,2.19,2.3,2.05,2.71,9,1.3
abobora,2021,municipal,kg,3.24,3.12,2.68,3.45,6,1.3
abobora,2022,municipal,kg,3.85,4.12,2.48,6.2,34,2.5
abobora,2023,municipal,kg,3.9,4.21,1.55,6.3,106,4.1
abobora,2024,federal,kg,4.25,4.59,3.85,5.75,13,1.5
abobora,2024,municipal,kg,3.79,3.69,2.05,5.73,65,2.8
abobora,2025,federal,kg,4.96,4.47,2.3,5.45,18,2.4
abobora,2025,municipal,kg,5.01,4.22,2.05,5.38,55,2.6
abobora,2026,municipal,kg,4.6,3.7,2.0,5.52,9,2.8
achocolatado,2019,federal,kg,17.15,17.6,9.05,30.0,6,3.3
achocolatado,2019,municipal,kg,14.78,14.78,13.38,16.18,2,1.2
achocolatado,2020,federal,kg,9.81,9.81,5.75,13.85,4,2.4
achocolatado,2020,municipal,kg,12.48,14.46,12.48,18.42,3,1.5
achocolatado,2021,federal,kg,11.15,12.83,9.32,19.7,4,2.1
achocolatado,2021,municipal,kg,12.09,12.84,12.09,14.35,3,1.2
achocolatado,2022,federal,kg,14.62,16.38,13.25,21.25,3,1.6
achocolatado,2022,municipal,kg,18.5,28.64,6.88,56.05,40,8.2
achocolatado,2023,municipal,kg,10.0,15.66,8.48,47.1,38,5.6
achocolatado,2024,municipal,kg,44.65,30.83,7.34,44.65,76,6.1
achocolatado,2025,federal,kg,16.85,22.7,12.98,44.75,6,3.4
achocolatado,2025,municipal,kg,24.88,26.28,7.1,39.28,93,5.5
achocolatado,2026,municipal,kg,8.0,8.36,8.0,8.9,5,1.1
acucar,2019,estadual,kg,8.9,8.17,1.82,20.0,35,11.0
acucar,2019,federal,kg,3.99,5.56,1.82,9.99,37,5.5
acucar,2019,municipal,kg,3.98,4.4,1.62,10.0,8,6.2
acucar,2020,estadual,kg,4.65,7.5,2.0,19.2,33,9.6
acucar,2020,federal,kg,4.3,5.83,1.99,12.5,17,6.3
acucar,2020,municipal,kg,3.55,6.98,2.08,22.25,25,10.7
acucar,2021,estadual,kg,5.91,8.34,2.8,20.5,34,7.3
acucar,2021,federal,kg,11.2,10.2,3.8,16.28,20,4.3
acucar,2021,municipal,kg,13.18,13.04,2.86,24.0,54,8.4
acucar,2022,estadual,kg,6.71,10.51,3.98,22.6,33,5.7
acucar,2022,federal,kg,6.71,8.75,4.07,19.5,25,4.8
acucar,2022,municipal,kg,6.35,8.58,3.24,24.99,331,7.7
acucar,2023,estadual,kg,8.48,11.28,4.03,21.51,20,5.3
acucar,2023,municipal,kg,6.6,8.8,3.06,23.58,758,7.7
acucar,2024,estadual,kg,8.99,11.59,4.45,22.32,21,5.0
acucar,2024,federal,kg,15.45,13.27,2.97,22.98,52,7.7
acucar,2024,municipal,kg,5.45,8.0,2.94,22.13,806,7.5
acucar,2025,estadual,kg,16.24,13.63,5.95,21.2,16,3.6
acucar,2025,federal,kg,11.58,11.87,2.05,22.32,58,10.9
acucar,2025,municipal,kg,8.55,9.77,3.29,24.45,795,7.4
acucar,2026,estadual,kg,18.39,16.55,6.54,24.71,3,3.8
acucar,2026,federal,kg,7.98,11.47,3.83,22.5,16,5.9
acucar,2026,municipal,kg,4.07,6.86,2.8,24.05,266,8.6
agua_mineral,2019,estadual,litro,4.2,4.34,0.65,9.8,37,15.1
agua_mineral,2019,federal,litro,6.44,5.49,0.48,10.0,27,20.8
agua_mineral,2020,estadual,litro,8.0,6.77,1.54,9.5,15,6.2
agua_mineral,2020,federal,litro,5.64,4.38,0.7,8.62,16,12.3
agua_mineral,2020,municipal,litro,0.43,0.45,0.31,0.56,8,1.8
agua_mineral,2021,estadual,litro,6.0,6.53,1.9,12.0,21,6.3
agua_mineral,2021,federal,litro,7.83,5.59,0.79,9.47,13,12.0
agua_mineral,2021,municipal,litro,0.6,0.97,0.34,3.02,16,8.8
agua_mineral,2022,estadual,litro,1.88,2.4,0.68,7.02,24,10.3
agua_mineral,2022,federal,litro,8.87,6.04,0.98,10.0,11,10.2
agua_mineral,2022,municipal,litro,0.62,1.01,0.32,3.84,91,11.9
agua_mineral,2023,estadual,litro,3.33,3.66,1.25,7.68,14,6.1
agua_mineral,2023,municipal,litro,1.92,1.87,0.4,5.95,290,14.8
agua_mineral,2024,estadual,litro,0.87,1.4,0.59,3.32,9,5.6
agua_mineral,2024,federal,litro,10.9,8.0,1.69,11.9,19,7.0
agua_mineral,2024,municipal,litro,1.78,2.52,0.42,7.99,205,18.8
agua_mineral,2025,federal,litro,2.38,3.35,0.82,10.9,18,13.3
agua_mineral,2025,municipal,litro,1.98,2.11,0.51,5.45,270,10.7
agua_mineral,2026,federal,litro,2.64,4.37,1.23,10.99,4,8.9
agua_mineral,2026,municipal,litro,1.6,1.79,0.51,4.75,35,9.2
agua_sanitaria,2019,estadual,litro,2.55,2.94,2.5,3.78,3,1.5
agua_sanitaria,2019,federal,litro,1.9,2.48,1.5,7.49,13,5.0
agua_sanitaria,2020,estadual,litro,3.15,7.71,2.13,20.49,13,9.6
agua_sanitaria,2020,federal,litro,2.22,4.12,1.74,9.5,7,5.5
agua_sanitaria,2021,estadual,litro,9.91,10.1,3.31,17.78,7,5.4
agua_sanitaria,2021,federal,litro,2.19,2.13,1.72,2.4,5,1.4
agua_sanitaria,2022,estadual,litro,5.0,5.04,4.37,5.86,5,1.3
agua_sanitaria,2022,federal,litro,2.93,3.57,2.2,9.0,8,4.1
agua_sanitaria,2022,municipal,litro,2.09,2.31,2.08,4.62,40,2.2
agua_sanitaria,2023,estadual,litro,5.6,6.02,5.5,7.37,4,1.3
agua_sanitaria,2023,municipal,litro,2.35,3.68,1.14,20.67,76,18.1
agua_sanitaria,2024,estadual,litro,13.67,12.75,4.6,19.07,4,4.1
agua_sanitaria,2024,federal,litro,1.94,2.1,1.85,2.9,6,1.6
agua_sanitaria,2024,municipal,litro,2.0,2.12,1.14,3.75,77,3.3
agua_sanitaria,2025,estadual,litro,11.86,10.71,4.64,14.48,4,3.1
agua_sanitaria,2025,federal,litro,4.27,6.62,2.28,17.9,8,7.9
