fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
estadual,extintor,2019,Governo ES,45.0,unidade,unitario,"RECARGA E MANUTENCAO DE EXTINTOR DE INCENDIO; AGENTE EXTINTOR: PO QUIMICO SECO PQS; CAPACIDADE: 8,0 KG; CONFORME NORMAS "
estadual,extintor,2019,Governo ES,55.0,unidade,unitario,"RECARGA DE EXTINTOR DE INCENDIO; AGENTE EXTINTOR: PO QUIMICO SECO PQS; CAPACIDADE: 12,0 KG; CONFORME NORMAS DA ABNT-NBR "
estadual,gas_glp,2019,Governo ES,70.75,botijao_13kg,unitario,GÁS LIQUEFEITO DE PETRÓLEO 13 QUILOS
estadual,disjuntor,2019,Governo ES,6.5,unidade,unitario,DISJUNTOR; TERMOMAGNETICO; 20A; UNIPOLAR.
estadual,tubo_pvc,2019,Governo ES,65.9,metro,unitario,"TUBO PVC ESGOTO 100 MM, COMPRIMENTO 6 METROS"
estadual,torneira,2019,Governo ES,18.0,unidade,unitario,PECA COMPONENTE: 1 PAR DE TORNEIRAS BRANCAS PARA FR600 SENDO UMA TORNEIRA GELADA E OUTRA NATURAL
estadual,cefalexina,2019,Governo ES,0.4245,unidade,unitario,MEDICAMENTOS ANTIBIOTICO; PRINCIPIO/CONCENTRACAO: CEFALEXINA 500MG; FORMA FARMACEUTICA: COMPRIMIDO/COMPRIMIDO REVESTIDO/
estadual,cefalexina,2019,Governo ES,0.1232,unidade,unitario,MEDICAMENTOS GERAIS DE USO HUMANO; PRINCIPIO/CONCENTRACAO1: CEFALEXINA 50MG/ML; FORMA FARMACEUTICA: SUSPENSAO ORAL; FORM
estadual,diazepam,2019,Governo ES,0.0901,unidade,unitario,MEDICAMENTOS GERAIS DE USO HUMANO; PRINCIPIO/CONCENTRACAO1:DIAZEPAM 10MG FORMA FARMACEUTICA:COMPRIMIDO FORMA DE APRESENT
estadual,seringa,2019,Governo ES,0.2399,unidade,unitario,"SERINGA DESCARTAVEL PARA INSULINA; CAPACIDADE: 1 ML/100UI; GRADUACAO/ESCALA: ESCALA GRADUADA A CADA 0,01 ML (NITIDA E PE"
estadual,fralda,2019,Governo ES,2.3,unidade,unitario,"FRALDA DESCARTAVEL; TIPO: ADULTO; MODELO: ANATOMICO, MAIOR COMODIDADE, INCONTINENCIA URINARIA SEVERA, USO NOTURNO, PROLO"
estadual,atenolol,2019,Governo ES,0.4952,unidade,unitario,"MEDICAMENTOS GERAIS DE USO HUMANO; PRINCIPIO/CONCENTRACAO1: ATENOLOL 50MG;PRINCIPIO/CONCENTRACAO2: CLORTALIDONA 12,5MG ;"
estadual,envelope,2019,Governo ES,0.52,unidade,unitario,ENVELOPE PAPEL; MATERIAL: PAPEL OFFSET; GRAMATURA: 90 G/M²; COR: BRANCA; JANELA: SEM JANELA; FECHAMENTO: ABA COMUM; LARG
estadual,envelope,2019,Governo ES,0.34,unidade,unitario,ENVELOPE BRANCO TIMBRADO; NAS DIMENSÕES: 18X25CM; PAPEL AP: 90 G/M
estadual,extintor,2019,Governo ES,59.0,unidade,unitario,"RECARGA E MANUTENCAO DE EXTINTOR DE INCENDIO; AGENTE EXTINTOR: DIOXIDO DE CARBONO CO2; CAPACIDADE: 6,0 KG; CONFORME NORM"
estadual,extintor,2019,Governo ES,45.0,unidade,unitario,RECARGA E MANUTENCAO DE EXTINTOR DE INCENDIO; AGENTE EXTINTOR: AGUA PRESSURIZADA; CAPACIDADE: 10 LITROS; CONFORME NORMAS
estadual,extintor,2019,Governo ES,108.33,unidade,unitario,RECARGA E MANUTENCAO DE EXTINTOR DE INCENDIO; AGENTE EXTINTOR: AGUA PRESSURIZADA; CAPACIDADE: 75 LITROS; CONFORME NORMAS
estadual,extintor,2019,Governo ES,383.33,unidade,unitario,EXTINTOR DE INCENDIO; MODELO: PORTATIL; AGENTE EXTINTOR: CO2 - GAS CARBONICO; CLASSE: CLASSE DE INCENDIO 5-B:C ; NORMA: 
estadual,extintor,2019,Governo ES,155.0,unidade,unitario,"EXTINTOR DE INCENDIO; MODELO: PORTATIL; AGENTE EXTINTOR: PO QUIMICO SECO - PQS; CAPACIDADE: 6,0KG; CLASSE DE INCENDIO: 2"
estadual,extintor,2019,Governo ES,133.33,unidade,unitario,EXTINTOR DE INCENDIO; MODELO: PORTATIL; AGENTE EXTINTOR: CARGA DE AGUA; CLASSE: CLASSE DE INCENDIO 2-A ; NORMA: 15808/20
estadual,extintor,2019,Governo ES,171.0,unidade,unitario,EXTINTOR DE INCENDIO COM CARGA; MODELO: PORTATIL; CLASSE ABC; CAPACIDADE: 6KG; GARANTIA: 12 MESES; COM SUPORTE P/FIXACAO
estadual,amitriptilina,2019,Governo ES,2.85,unidade,unitario,"MEDICAMENTOS GERAIS DE USO HUMANO; PRINCIPIO/CONCENTRACAO1:GLUCOSAMINA 1,5G PRINCIPIO/CONCENTRACAO2: FAMOTIDINA 60MG PRI"
estadual,mouse,2019,Governo ES,35.9,unidade,unitario,MOUSE PAD PARA MOUSE OPTICO COM APOIO DE PUNHO EM GEL; COM LOGO DO ORGAO.
estadual,ar_condicionado,2019,Governo ES,2800.0,unidade,unitario,"AR CONDICIONADO DO TIPO SPLIT HI-WALL DE 18.000 BTU¿S: 
CARACTERISTICAS MINIMAS OBRIGATORIAS: APARELHOS TIPO SPLIT HI-W"
