fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
municipal,frango,2022,Barra de São Francisco,43.0,kg,heuristica,"BUFETT TIPO 1 BUFETT Tipo 1 - deverá conter (01) unidade dos itens abaixo relacionados:ENTRADAS:-Mine Hamburguês, mine p"
municipal,ar_condicionado,2022,Barra de São Francisco,5000.0,unidade,unitario,LOCACAO DE ESPACO PARA EVENTO Locação De Espaço Para Evento com capacidade para atender até 1.000 devendo conter:-Orname
municipal,bebedouro,2022,São Mateus,639.41,unidade,unitario,BEBEDOURO ELÉTRICO PARA GARRAFÃO - Com capacidade mínima de 30L e máxima de 35L- Cor branca- 01 ano de garantia- Trava d
municipal,bebedouro,2022,São Mateus,1854.28,unidade,unitario,"BEBEDOURO INDUSTRIAL MÍNIMO 100L E MÁXIMO 120 LITROS, 127 V - INOX -Reservatório interno em polietileno atóxico, com uma"
municipal,bebedouro,2022,São Mateus,1854.28,unidade,unitario,"BEBEDOURO INDUSTRIAL MÍNIMO 100L E MÁXIMO 120 LITROS, 127 V - INOX -Reservatório interno em polietileno atóxico, com uma"
municipal,gas_glp,2022,Colatina,115.0,botijao_13kg,unitario,"GAS LIQUEFEITO DE PETROLEO 13 KG GAS LIQUEFEITO DE PETROLEO (GLP) ACONDICIONADO EM BOTIJA DE 13 KG, SOMENTE O LÍQUIDO."
municipal,cafe,2022,Colatina,24.78,kg,descricao,"CAFE MOIDO E TORRADO EMBALADO A VACUO 500 GRS Café torrado e moído extraforte, embalado a vácuo com selo de pureza ABIC,"
municipal,papel_toalha,2022,Colatina,8.95,rolo,unitario,"PAPEL TOALHA INTERFOLHADO PAPEL TOALHA INTERFOLHA, FOLHAS SIMPLES, DUAS DOBRAS PRODUZIDO COM 100% FIBRAS CELULÓSICAS, NÃ"
municipal,cadeira,2022,Colatina,430.0,unidade,unitario,CADEIRA GIRATORIA EXECUTIVA SEM BRACO CADEIRA GIRATÓRIA EXECUTIVA SEM BRAÇO CONTENDO NO MÍNIMO AS SEGUINTES ESPECIFICAÇÕ
municipal,cadeira,2022,Colatina,100.0,unidade,unitario,CADEIRA FIXA SEM BRACO COR PRETA CADEIRA FIXA SEM BRAÇO CONTENDO NO MÍNIMO AS SEGUINTES ESPECIFICAÇÕES: ESTRUTURA EM TUB
municipal,cadeira,2022,Colatina,100.0,unidade,unitario,CADEIRA FIXA SEM BRACO COR GRAFITE CADEIRA FIXA SEM BRAÇO CONTENDO NO MÍNIMO AS SEGUINTES ESPECIFICAÇÕES: ESTRUTURA EM T
