fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
municipal,caneta_esferografica,2022,Santa Maria de Jetibá,0.55,unidade,unitario,"CANETA ESFEROGRAFICA AZUL 0,7MM ESCRITA FINA   FABRICADA EM RESINAS TERMOPLASTICAS; ESFERA DE TUNGSTENIO; TAMPA E TAMPIN"
municipal,fralda,2022,Vila Velha,1.57,unidade,unitario,MANDADO JUDICIAL; FRALDA DESCARTAVEL; TIPO: GERIATRICA; COMPOSICAO INTERNA: POLIMERO SUPERABSORVENTE; COMPOSICAO EXTERNA
municipal,disjuntor,2022,Viana,46.78,unidade,unitario,FORNECIMENTO E INSTALAÇÃO DE DISJUNTOR TRIPOLAR FORNECIMENTO E INSTALAÇÃO DEDISJUNTOR TRIPOLAR DE 63 A 70 AMPER.
municipal,detergente,2022,Cariacica,3.24,litro,descricao,DETERGENTE LÍQUIDO P/GORDURA 500 ML - UNIDADE
municipal,disjuntor,2022,Serra,77.0,unidade,unitario,"FRANJA DE LED DE TAMANHO IRREGULARCONTENDO LEDS EMBORRACHADO, BITOLA 3,3MM², DE COMPRIMENTO IRREGULAR, E DEVERÁ TER NO M"
municipal,agua_sanitaria,2022,Santa Maria de Jetibá,2.1,litro,descricao,"AGUA SANITARIA INCOLOR COMPOSICAO QUIMICA: HIPOCLORITO DE SODIO, HIDROXIDO DE SODIO, CLORETO; TEOR CLORO ATIVO DE 2 A 2,"
municipal,fuba,2022,Marataízes,2.8,kg,heuristica,"FUBA DE MILHO FUBÁ DE MILHO. PRODUTO DE PRIMEIRA QUALIDADE, OBTIDO PELA MOAGEM DE GRÃOS DE MILHO SÃOS E MADUROS, ENRIQUE"
municipal,tubo_pvc,2022,São Mateus,21.21,metro,unitario,"TUBO PVC SOLDAVEL --DN 20MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_12/2014"
municipal,lampada_led,2022,Serra,11.38,unidade,unitario,"Lâmpada led tubular bivolt 18/20 w, base G13 - Luz branca."
municipal,cola_branca,2022,Guarapari,2.81,unidade,unitario,"COLA BRANCA 90 GR. COLA LIQUIDA PARA PAPEL, BASE DE POLIACETATO DE VINILA, NÃO TÓXICA, TEOR SÓLIDO DE 25%, COM TAMPA DE "
municipal,tubo_pvc,2022,Vitória,7.0,metro,unitario,Retirada de tubo PVC esgoto 100mm
