fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
municipal,dexametasona,2019,Vila Velha,5.9515,unidade,unitario,DEXAMETASONA 1 MG/ML (0 1%) SUSPENSÃO OFTÁLMICA ESTÉRIL  FRASCO CONTA-GOTAS 5 ML 
municipal,ar_condicionado,2019,Vila Velha,4800.0,unidade,unitario,CAMARIM TIPO CONTAINER: medindo 6 metros de comprimento  com 2 40 metros de largura e 2.50 metros de altura; com revesti
municipal,ar_condicionado,2019,Vila Velha,2500.0,unidade,unitario,ESTANDE REFRIGERADO  Composto de placas de TS de 3mm com cobertura em MDF branco e perfil de alumínio  incluindo ar con
municipal,ar_condicionado,2019,Vila Velha,800.0,unidade,unitario,CONDICIONADOR DE AR. Ar condicionado de 30.000 BTUs  com Selo de Eficiência Energética Classe A. Para tenda galpão.
municipal,ranitidina,2019,Vila Velha,0.1025,unidade,unitario,Ranitidina cloridrato 150 mg  comprimido.
municipal,dexametasona,2019,Vila Velha,1.0523,unidade,unitario,Dexametasona  1 mg/ml (0 1 %)  creme dermatológico 10 g ou 15g.  
municipal,ibuprofeno,2019,Vila Velha,1.075,unidade,unitario,ibuprofeno 50mg/mL  solução oral  frasco/gotas com 30mL. 
municipal,ranitidina,2019,Vila Velha,0.1025,unidade,unitario, Ranitidina cloridrato 150 mg  comprimido  
municipal,shampoo,2019,Vila Velha,24.7,litro,heuristica,Shampoo contra ectoparasitas que infestam cães e gatos  descrição conforme termo de referência.
municipal,detergente,2019,Vila Velha,2.52,litro,heuristica,Detergente  composição alcalinizante  descrição completa conforme termo de referência. 
municipal,desinfetante,2019,Vila Velha,16.01,litro,heuristica,Desinfetante concentrado  descrição conforme termo de referência. 
municipal,papel_toalha,2019,Vila Velha,20.2,rolo,unitario,DISPENSER PARA USO DE PAPEL TOALHA (Rolão)DE ALTA QUALIDADE COM ALAVANCA PARA TOLHA BOBINA PRODUZIDO NA COR BRANCA OU SI
municipal,vassoura,2019,Vila Velha,7.56,unidade,unitario,VASSOURA PIAÇAVA CONFORME TERMO DE REFERÊNCIA 
