fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
federal,diesel,2019,Federal/ES,3.49,litro,quantidade_litros,ÓLEO DIESEL.
federal,diesel,2019,Federal/ES,3.49,litro,quantidade_litros,ÓLEO DIESEL.
federal,gasolina,2019,Federal/ES,4.2899,litro,quantidade_litros,GASOLINA COMUM
federal,gasolina,2019,Federal/ES,4.2899,litro,quantidade_litros,GASOLINA COMUM
federal,diesel,2019,Federal/ES,3.5199,litro,quantidade_litros,ÓLEO DIESEL.
federal,diesel,2019,Federal/ES,3.5199,litro,quantidade_litros,ÓLEO DIESEL.
federal,torneira,2019,Federal/ES,32.73,unidade,unitario,REPARO TORNEIRA
federal,agua_mineral,2019,Federal/ES,5.0,litro,heuristica,ÁGUA MINERAL NATURAL
federal,seringa,2019,Federal/ES,0.15,unidade,unitario,SERINGA
federal,cafe,2019,Federal/ES,27.96,kg,heuristica,'CAFÉ'
federal,agua_mineral,2019,Federal/ES,5.58,litro,heuristica,'ÁGUA MINERAL'
federal,gas_glp,2019,Federal/ES,65.0,botijao_13kg,unitario,GÁS LIQUEFEITO DE PETRÓLEO - GLP
federal,acucar,2019,Federal/ES,2.9997,kg,heuristica,'AÇÚCAR'
federal,disjuntor,2019,Federal/ES,5.39,unidade,unitario,PEÇA / ACESSÓRIO DISJUNTOR
federal,disjuntor,2019,Federal/ES,18.44,unidade,unitario,PEÇA / ACESSÓRIO DISJUNTOR
federal,disjuntor,2019,Federal/ES,28.33,unidade,unitario,PEÇA / ACESSÓRIO DISJUNTOR
federal,disjuntor,2019,Federal/ES,34.54,unidade,unitario,PEÇA / ACESSÓRIO DISJUNTOR
federal,gas_glp,2019,Federal/ES,64.5,botijao_13kg,unitario,GÁS LIQUEFEITO DE PETRÓLEO - GLP
federal,tubo_pvc,2019,Federal/ES,11.9,metro,unitario,TUBO PVC SOLDÁVEL
federal,desinfetante,2019,Federal/ES,9.48,litro,heuristica,DESINFETANTE
federal,detergente,2019,Federal/ES,2.98,litro,heuristica,DETERGENTE
federal,papel_higienico,2019,Federal/ES,5.0,rolo,unitario,PAPEL HIGIÊNICO
federal,detergente,2019,Federal/ES,17.78,litro,heuristica,DETERGENTE
federal,aas,2019,Federal/ES,0.1,unidade,unitario,ÁCIDO ACETILSALICÍLICO
federal,albendazol,2019,Federal/ES,0.49,unidade,unitario,ALBENDAZOL
federal,amoxicilina,2019,Federal/ES,0.18,unidade,unitario,AMOXICILINA
federal,amoxicilina,2019,Federal/ES,1.1,unidade,unitario,AMOXICILINA
federal,azitromicina,2019,Federal/ES,0.72,unidade,unitario,AZITROMICINA
federal,cefalexina,2019,Federal/ES,0.44,unidade,unitario,CEFALEXINA
federal,ciprofloxacino,2019,Federal/ES,0.32,unidade,unitario,CIPROFLOXACINO CLORIDRATO
federal,paracetamol,2019,Federal/ES,0.43,unidade,unitario,PARACETAMOL
federal,dexametasona,2019,Federal/ES,1.18,unidade,unitario,DEXAMETASONA
federal,dipirona,2019,Federal/ES,0.12,unidade,unitario,DIPIRONA SÓDICA
federal,fenobarbital,2019,Federal/ES,1.64,unidade,unitario,FENOBARBITAL SÓDICO
federal,furosemida,2019,Federal/ES,0.49,unidade,unitario,FUROSEMIDA
federal,haloperidol,2019,Federal/ES,1.36,unidade,unitario,HALOPERIDOL
federal,nimesulida,2019,Federal/ES,0.1,unidade,unitario,NIMESULIDA
federal,omeprazol,2019,Federal/ES,0.1,unidade,unitario,OMEPRAZOL
federal,paracetamol,2019,Federal/ES,0.09,unidade,unitario,PARACETAMOL
